name,value,year,lastValue,rank
Portugal,12937,2019,8260,16
Austria,9588,2018,7373,16
Italy,5431,2017,3518,16
Italy,3518,2016,2669,16
Italy,2669,2015,1616,16
Italy,1616,2014,1229,16
Denmark,615,2013,642,16
Italy,196,2011,251,16
Poland,19,2010,0,16
India,50533,2022,14950,17
Japan,45920,2021,31545,17
Austria,24354,2020,12024,17
Austria,12024,2019,9588,17
Portugal,8260,2018,4592,17
Portugal,4592,2017,1854,17
Denmark,2011,2016,5065,17
Spain,2622,2015,2101,17
Korea,606,2013,512,17
Korea,512,2012,274,17
Portugal,195,2011,720,17
Denmark,10,2010,0,17
Austria,49184,2022,50258,18
Portugal,20070,2020,12937,18
Denmark,9823,2019,4856,18
New Zealand,3441,2017,1540,18
Portugal,1854,2016,1178,18
Korea,1303,2014,606,18
Austria,274,2012,17,18
Sweden,189,2011,4,18
New Zealand,10,2010,0,18
Portugal,29413,2021,20070,19
New Zealand,5611,2018,3441,19
New Zealand,1540,2016,500,19
Portugal,1178,2015,228,19
India,1000,2014,410,19
India,410,2013,190,19
Sweden,4,2010,0,19
Poland,8622,2020,2885,20
Denmark,4856,2018,1425,20
Iceland,3080,2017,1180,20
India,190,2012,1400,20
Poland,46,2011,19,20
Brazil,3,2010,0,20
Portugal,35078,2022,29413,21
New Zealand,7017,2019,5611,21
Iceland,578,2015,243,21
New Zealand,320,2014,36,21
Brazil,283,2013,186,21
Brazil,186,2012,3,21
Canada,1,2010,0,21
Poland,17367,2021,8622,22
Iceland,3680,2018,3080,22
India,2140,2017,935,22
Iceland,1180,2016,578,22
India,550,2015,1000,22
Iceland,243,2014,111,22
Austria,17,2011,49,22
Iceland,1,2010,0,22
New Zealand,28817,2022,10579,23
India,14950,2021,6343,23
India,6343,2020,1937,23
Poland,2885,2019,1523,23
India,935,2016,550,23
New Zealand,500,2015,320,23
Portugal,228,2014,207,23
Portugal,207,2013,68,23
New Zealand,17,2011,10,23
Poland,26288,2022,17367,24
Brazil,14060,2021,2562,24
New Zealand,5520,2020,7017,24
Iceland,2666,2019,3680,24
India,2630,2018,2140,24
Denmark,1425,2017,2011,24
Poland,235,2015,209,24
Poland,209,2014,48,24
Iceland,111,2013,30,24
Brazil,20807,2022,14060,25
New Zealand,10579,2021,5520,25
Iceland,5049,2020,2666,25
Brazil,2043,2019,362,25
Poland,527,2016,235,25
Poland,48,2013,64,25
Portugal,68,2012,195,25
Brazil,3,2011,3,25
Iceland,12151,2022,9295,26
Iceland,9295,2021,5049,26
India,1937,2019,2630,26
Poland,1523,2018,1108,26
Poland,1108,2017,527,26
Brazil,192,2016,100,26
Brazil,100,2015,61,26
Brazil,61,2014,283,26
New Zealand,36,2013,28,26
Poland,64,2012,46,26
Brazil,2562,2020,2043,27
Brazil,362,2018,317,27
Brazil,317,2017,192,27
Iceland,30,2012,2,27
New Zealand,28,2012,17,28
Iceland,2,2011,1,28
